pair	ord	variant	prefill_tok_s	decode_tok_s	temp_before	freqs_before	temp_after	freqs_after
1	A	baseline	prompt=512	decode=128	30900	1824000,1824000,2246400	46500	1824000,1824000,2246400
1	B	maxvictim	prompt=512	decode=128	44200	1824000,1824000,2246400	49600	729600,1824000,2246400
2	A	baseline	prompt=512	decode=128	47300	844800,1824000,2246400	52000	1824000,1824000,2246400
2	B	maxvictim	prompt=512	decode=128	49300	1824000,1824000,2246400	53600	844800,1824000,2246400
3	A	baseline	prompt=512	decode=128	50800	1824000,1824000,2246400	53600	1824000,1824000,2246400
3	B	maxvictim	prompt=512	decode=128	50800	1824000,1824000,2246400	54300	729600,1824000,2246400
4	A	baseline	prompt=512	decode=128	51600	1824000,1824000,2246400	55500	729600,1824000,2246400
4	B	maxvictim	prompt=512	decode=128	52800	1824000,1824000,2246400	55900	1824000,1824000,2246400
5	A	baseline	prompt=512	decode=128	53600	729600,1824000,2246400	57100	1824000,1824000,2246400
5	B	maxvictim	prompt=512	decode=128	53600	1824000,1824000,2246400	56700	1824000,1824000,2246400
6	A	baseline	prompt=512	decode=128	54000	1824000,1824000,2246400	56700	1824000,1824000,2246400
6	B	maxvictim	prompt=512	decode=128	54300	1824000,1824000,2246400	57900	1824000,1824000,2246400
7	A	baseline	prompt=512	decode=128	55100	1824000,1824000,2246400	57900	1824000,1824000,2246400
7	B	maxvictim	prompt=512	decode=128	55500	1824000,1824000,2246400	58600	844800,1824000,2246400
8	A	baseline	prompt=512	decode=128	55900	1824000,1824000,2246400	59000	1824000,1824000,2246400
8	B	maxvictim	prompt=512	decode=128	55900	729600,1824000,2246400	59000	729600,1824000,2246400
9	A	baseline	prompt=512	decode=128	56300	1824000,1824000,2246400	58600	1824000,1824000,2246400
9	B	maxvictim	prompt=512	decode=128	55900	1824000,1824000,2246400	59800	1824000,1824000,2246400
10	A	baseline	prompt=512	decode=128	56700	729600,1824000,2246400	59400	1824000,1824000,2246400
10	B	maxvictim	prompt=512	decode=128	56700	1824000,1824000,2246400	60200	729600,1824000,2246400
