pair	ord	variant	prefill_tok_s	decode_tok_s	temp_before	freqs_before	temp_after	freqs_after
1	A	baseline	602.22	93.63	36700	729600,1824000,2246400	52400	729600,1824000,2246400
1	B	maxvictim	606.89	93.08	49300	1824000,1824000,2246400	55500	1824000,1824000,2246400
2	A	baseline	599.01	92.37	52800	1824000,1824000,2246400	57100	1824000,1824000,2246400
2	B	maxvictim	607.06	92.43	54000	729600,1824000,2246400	57500	1824000,1824000,2246400
3	A	baseline	600.68	93.23	55100	729600,1824000,2246400	59000	1824000,1824000,2246400
3	B	maxvictim	607.12	92.02	55900	1824000,1824000,2246400	59000	1824000,1824000,2246400
4	A	baseline	598.13	92.36	56300	1824000,1824000,2246400	59800	729600,1824000,2246400
4	B	maxvictim	607.66	91.90	56700	729600,1824000,2246400	60200	1824000,1824000,2246400
5	A	baseline	601.82	92.12	57100	729600,1824000,2246400	60200	729600,1824000,2246400
5	B	maxvictim	607.65	92.80	57900	1824000,1824000,2246400	60600	729600,1824000,2246400
6	A	baseline	611.11	91.50	57900	1824000,1824000,2246400	60200	1824000,1824000,2246400
6	B	maxvictim	607.50	92.18	57500	1824000,1824000,2246400	61400	1824000,1824000,2246400
7	A	baseline	601.04	91.93	57900	1824000,1824000,2246400	61000	1824000,1824000,2246400
7	B	maxvictim	606.99	91.55	58600	1824000,1824000,2246400	61800	614400,1824000,2246400
8	A	baseline	598.88	92.13	58300	1824000,1824000,2246400	61800	1824000,1824000,2246400
8	B	maxvictim	607.08	91.29	58600	1824000,1824000,2246400	62200	1824000,1824000,2246400
9	A	baseline	600.62	92.17	59000	1824000,1824000,2246400	62600	1824000,1824000,2246400
9	B	maxvictim	608.24	92.66	59400	729600,1824000,2246400	62200	1824000,1824000,2246400
10	A	baseline	593.44	91.82	59000	1824000,1824000,2246400	62600	614400,1824000,2246400
10	B	maxvictim	606.26	91.88	59400	1824000,1824000,2246400	61800	1824000,1824000,2246400
